config,model,mae,rmse,epochs,window,hidden_size,lr,batch_size
btc_only,GRU,0.03874226386950907,0.05267610549676222,10,7,64,0.0005,8
btc_only,CNN,0.04643680116055043,0.06337100892144662,10,7,64,0.0005,8
btc_only,LSTM,0.039251024141836365,0.053183140970314936,10,7,64,0.0005,16
btc_only,LSTM_Attn,0.03899407901597064,0.05290352789073124,10,7,64,0.0005,16
btc_only,GRU,0.03939575465493325,0.053261013690099154,10,7,64,0.0005,16
btc_only,CNN,0.04278142974179948,0.05889818296050132,10,7,64,0.0005,16
btc_only,LSTM,0.04042493804982951,0.05419242116937617,10,7,64,0.0005,32
btc_only,LSTM_Attn,0.038772843221860906,0.05273403864981092,10,7,64,0.0005,32
btc_only,GRU,0.03863581470554592,0.05257695400171243,10,7,64,0.0005,32
btc_only,CNN,0.04196367548184608,0.05597509817016847,10,7,64,0.0005,32
btc_only,LSTM,0.03855183655875004,0.05246456344074011,10,7,128,0.001,8
btc_only,LSTM_Attn,0.038767146292767736,0.05272646903728767,10,7,128,0.001,8
